#Epoch  i		Time		  Data		   Loss		   Prec@1		   Prec@5 
1	0           0.657 	           0.037	          5.5590	           0.000 	           3.125
1	1           0.674 	           0.050	          5.5573	           0.000 	           1.562
1	2           0.654 	           0.050	          5.5036	           1.562 	           4.688
1	3           0.688 	           0.052	          5.5587	           0.000 	           0.781
1	4           0.686 	           0.051	          5.5360	           0.000 	           3.906
1	5           0.656 	           0.052	          5.4214	           0.000 	           1.562
1	6           0.681 	           0.051	          5.5135	           0.000 	           0.781
1	7           0.671 	           0.051	          5.5340	           1.562 	           1.562
1	8           0.673 	           0.052	          5.5112	           0.781 	           1.562
1	9           0.681 	           0.051	          5.6579	           0.000 	           0.781
1	10           0.671 	           0.051	          5.5033	           0.000 	           3.906
1	11           0.670 	           0.049	          5.5194	           0.000 	           2.344
1	12           0.673 	           0.053	          5.3757	           0.781 	           3.125
1	13           0.702 	           0.048	          5.4727	           0.781 	           3.906
1	14           0.687 	           0.050	          5.4623	           1.562 	           3.906
1	15           0.672 	           0.051	          5.4325	           0.000 	           1.562
1	16           0.700 	           0.047	          5.4431	           0.781 	           3.125
1	17           0.689 	           0.051	          5.4555	           0.781 	           2.344
1	18           0.677 	           0.052	          5.4292	           1.562 	           5.469
1	19           0.679 	           0.048	          5.3664	           0.781 	           4.688
1	20           0.685 	           0.054	          5.5616	           0.781 	           1.562
1	21           0.696 	           0.052	          5.4753	           0.781 	           0.781
1	22           0.691 	           0.050	          5.4235	           0.781 	           3.125
1	23           0.699 	           0.051	          5.4704	           0.781 	           3.125
1	24           0.660 	           0.051	          5.4975	           0.781 	           2.344
1	25           0.705 	           0.049	          5.5764	           0.000 	           3.125
1	26           0.705 	           0.051	          5.4255	           0.781 	           4.688
1	27           0.673 	           0.063	          5.5497	           0.000 	           6.250
1	28           0.694 	           0.047	          5.5557	           0.781 	           0.781
1	29           0.698 	           0.047	          5.4719	           0.781 	           3.906
1	30           0.677 	           0.047	          5.4463	           0.000 	           3.125
1	31           0.692 	           0.047	          5.4924	           0.000 	           2.344
1	32           0.678 	           0.045	          5.3848	           0.000 	           5.469
1	33           0.704 	           0.047	          5.5319	           0.781 	           1.562
1	34           0.788 	           0.052	          5.4474	           1.562 	           3.125
1	35           0.698 	           0.044	          5.4278	           1.562 	           3.125
1	36           0.705 	           0.065	          5.3939	           1.562 	           5.469
1	37           0.677 	           0.048	          5.4664	           0.000 	           1.562
1	38           0.704 	           0.065	          5.4376	           1.562 	           3.906
1	39           0.693 	           0.052	          5.4154	           0.000 	           1.562
1	40           0.714 	           0.063	          5.4121	           0.000 	           3.906
1	41           0.770 	           0.054	          5.3599	           0.781 	           6.250
1	42           0.706 	           0.049	          5.3372	           0.781 	           7.812
1	43           0.737 	           0.052	          5.3739	           1.562 	           3.906
1	44           0.685 	           0.053	          5.5563	           0.000 	           0.781
1	45           0.718 	           0.053	          5.4133	           0.781 	           3.125
1	46           0.713 	           0.053	          5.4052	           1.562 	           5.469
1	47           0.698 	           0.051	          5.3789	           0.781 	           3.125
1	48           0.692 	           0.051	          5.3097	           0.781 	           4.688
1	49           0.700 	           0.049	          5.4842	           0.000 	           2.344
1	50           0.733 	           0.052	          5.5397	           0.000 	           0.000
1	51           0.705 	           0.052	          5.4454	           0.000 	           6.250
1	52           0.718 	           0.050	          5.3991	           0.000 	           2.344
1	53           0.694 	           0.051	          5.4176	           0.781 	           4.688
1	54           0.685 	           0.042	          5.3586	           0.000 	           0.781
1	55           0.703 	           0.050	          5.4924	           0.000 	           2.344
1	56           0.699 	           0.051	          5.3573	           0.781 	           1.562
1	57           0.687 	           0.047	          5.3880	           0.000 	           2.344
1	58           0.700 	           0.054	          5.3388	           0.781 	           5.469
1	59           0.693 	           0.051	          5.3484	           0.000 	           3.906
1	60           0.695 	           0.045	          5.4020	           0.781 	           3.906
1	61           0.698 	           0.062	          5.4336	           0.781 	           3.906
1	62           0.692 	           0.047	          5.3264	           0.000 	           0.781
1	63           0.692 	           0.047	          5.4194	           2.344 	           4.688
1	64           0.699 	           0.047	          5.3880	           0.000 	           1.562
1	65           0.726 	           0.062	          5.4604	           0.000 	           1.562
1	66           0.689 	           0.047	          5.5205	           0.000 	           1.562
1	67           0.703 	           0.047	          5.3917	           0.781 	           1.562
1	68           0.710 	           0.047	          5.4085	           2.344 	           4.688
1	69           0.694 	           0.062	          5.3514	           1.562 	           3.906
